"Var.1","06_18-Ray-GS-b3","06_18-Ray-G-c5","06_18-Fro-GS-a1","05_07_18-SenV-a7","05_07_18-Ger-a5","05_07_18-OrgeS-a5","05_07_18-Patur-a5","03_18-Soi-S-b2","05_07_18-Patur-a6","05_07_18-Patur-a4","06_18-Fro-GS-c3","05_07_18-Patur-a3","06_18-Fro-G-b3","05_07_18-SenV-a4","05_07_18-Patur-a7","06_18-Ray-GS-c5","05_07_18-OrgeS-a4","06_18-Ray-GS-a3","05_07_18-Ger-a4","06_18-Fro-GS-c4","06_18-Fro-GS-a3","06_18-Ray-G-b5","06_18-Cel-S-c2","06_18-Ray-G-a2","06_18-Ray-G-c4","06_18-Ray-GS-c4","06_18-Ray-G-a5","05_07_18-Ger-a3","06_18-Fro-GS-b1","05_07_18-PLaL-a3","06_18-Soi-GS-c2","06_18-Fro-GS-b3","06_18-Ray-G-b3","05_07_18-Ger-a2","06_18-Cel-GS-c5","06_18-Apa-GS-c2","05_07_18-OrgeS-a6","03_18-Soi-S-c3","06_18-Fro-G-a5","06_18-Fro-G-a2","06_18-Fro-GS-a5","06_18-Apa-S-c3","06_18-Soi-GS-c3","06_18-Apa-GS-c5","06_18-Apa-GS-c3","05_07_18-SenV-a5","05_07_18-SenV-a2","06_18-Fro-G-c3","05_07_18-OrgeS-a3","06_18-Apa-GS-c4","06_18-Soi-S-b1","06_18-Cel-S-c5","06_18-Cel-GS-c1","06_18-Fro-GS-a2","06_18-Cel-S-b1","06_18-Soi-S-c4","06_18-Soi-GS-c4","05_18-Apa-S-c4","05_07_18-PLaL-a7","05_07_18-Patur-a2","06_18-Cel-S-c3","06_18-Ray-GS-a2","05_07_18-PLaL-a6","05_07_18-OrgeS-a7","06_18-Cel-S-a2","03_18-Soi-GS-c3","06_18-Ray-GS-a4","06_18-Soi-S-b2","06_18-Cel-S-b4","03_18-Apa-S-b1","06_18-Cel-S-b5","06_18-Ray-GS-c2","06_18-Apa-GS-a1","03_18-Soi-S-c4","06_18-Fro-G-a4","06_18-Cel-GS-c3","06_18-Ray-G-a3","06_18-Cel-S-c4","06_18-Apa-GS-c1","06_18-Ray-GS-a5","06_18-Cel-GS-c4","06_18-Fro-G-a3","06_18-Apa-S-a1","06_18-Cel-S-a4","03_18-Soi-GS-c4","03_18-Cel-S-c2","06_18-Apa-GS-a2","06_18-Cel-GS-c2","06_18-Soi-GS-c1","03_18-Cel-S-b2","06_18-Ray-GS-b5","06_18-Apa-S-b3","03_18-Cel-S-c4","06_18-Apa-S-a2","05_18-Apa-S-b2","06_18-Ray-GS-c3","06_18-Cel-GS-b3","06_18-Cel-GS-b2","06_18-Apa-S-a3","05_07_18-PLaL-a2"
843,44190,1966,395,168,3774,0,11494,0,0,174,0,1263,1617,2362,0,32018,32660,466,1703,0,2505,0,2299,147,647,839,7243,3632,0,322,359,0,3281,0,1375,460,1971,0,0,205,0,565,0,21288,535,1319,109,8774,965,0,378,766,1081,0,175,2186,0,0,0,0,4203,849,0,813,302,0,6582,337,2362,0,1874,1269,203,0,448,7681,502,1188,3972,1621,449,436,434,370,0,0,0,179,0,0,6868,118,0,447,0,1144,100,0,0,0
1258,184,3225,2525,3278,1300,0,261,27133,160,120,374,0,3299,2389,193,0,291,17870,2216,623,1246,0,106,2047,926,571,1881,848,335,0,1637,1016,1404,104,0,0,1493,6984,1696,547,182,0,341,0,0,1679,2167,1327,1667,0,619,0,236,695,110,0,1407,0,0,162,0,1535,313,112,0,31628,863,0,0,180,0,1602,0,673,1189,0,1587,0,0,1206,0,1256,0,0,13667,435,0,0,0,0,273,0,144,0,76,1261,391,0,0,0
439,8501,235,92,0,932,0,0,0,0,0,0,0,103,183,0,6523,6632,73,164,0,340,46953,0,49,521,38,54,46,0,35,72,0,230,0,563,62,283,0,229,105,0,251,0,3963,131,138,549,2083,93,0,50,194,120,0,0,811,0,0,0,0,4248,284,0,210,80,0,0,0,167,0,0,169,56,0,567,273,99,130,547,35,137,0,87,37,0,0,0,0,0,0,963,0,0,0,0,0,0,0,0,0
1162,0,1067,871,0,567,0,0,8625,0,0,0,0,0,0,0,1592,0,4392,578,0,713,0,5269,0,0,0,1008,0,0,0,337,0,1945,0,2856,3441,314,2076,0,0,0,8299,3554,0,468,0,0,2133,0,0,3002,2491,239,0,2241,12356,959,0,0,0,1768,0,0,0,0,0,13695,3814,2670,0,474,326,3256,18893,0,489,294,0,1136,305,5642,394,3966,7485,0,2830,470,3778,3309,10518,412,1919,0,498,0,0,745,12216,4901,0
1429,0,0,65,228,1407,0,0,0,0,0,0,87,0,261,0,321,0,0,161,0,0,0,20557,0,241,189,57,100,0,0,279,0,79,0,11054,843,663,0,0,63,0,0,834,0,0,1883,160,0,0,0,1027,1217,1718,0,3912,2026,435,0,0,0,7867,0,0,0,1024,0,408,233,6208,0,9220,0,13472,0,662,451,70,14579,0,191,940,5058,5102,15076,0,0,455,322,0,0,114,0,0,728,0,85,875,2214,13330,0
228,161,2541,35166,2030,1039,809,267,0,441,1338,6493,382,3527,2099,3622,206,141,0,1158,1294,6085,0,187,579,733,685,2762,665,465,693,138,2333,912,361,384,482,1114,0,1152,2903,896,4362,0,0,0,4448,1383,636,4076,663,1200,0,5932,256,214,0,188,0,157,79,609,185,190,217,144,0,0,0,794,0,888,399,1095,0,1170,1061,917,179,0,850,254,964,389,201,0,0,164,156,0,0,566,721,0,45,0,1078,2932,44,589,172
646,110,4221,1706,354,2384,124,5186,1191,10699,5246,3604,4136,2662,3151,2861,0,223,1353,2815,2507,3992,0,1250,1498,2922,1267,2693,1856,7341,727,4641,4138,2422,24872,3632,727,3139,184,1134,2089,2723,4499,8628,94,160,1492,1042,994,610,4313,2881,434,1518,2354,316,418,2714,0,1402,4318,1063,1544,2551,4132,942,240,472,939,479,381,763,2121,1475,0,2036,2099,1799,335,5806,0,987,1505,3320,265,1951,7703,1577,660,1782,275,974,185,517,2163,594,1324,712,254,584,462
866,307,1344,30,0,28,33363,0,0,0,0,0,0,379,215,0,0,43,50,34,0,59,0,25,0,176,76,0,851,0,54,0,0,81,0,86,0,618,0,0,0,0,0,0,0,0,40,45,7223,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,25,0,0,0,0,54,0,435,46,586,0,25,16,45,0,0,603,0,159,0,186,0,0,0,35,0,0,351,0,0,108,0,0,0,0,0,0
948,173,523,630,344,573,0,1766,3827,1663,4418,243,3074,818,428,3806,0,131,0,1288,4481,504,0,1226,733,348,343,456,366,9045,115,1493,5928,381,2172,1686,18167,700,93,1323,3951,3491,5703,251,88,11116,317,525,258,933,435,298,336,1811,1328,830,0,4929,4853,1020,4017,273,482,568,287,791,185,0,267,276,7987,864,326,1028,1298,1150,327,773,1122,1771,297,2015,162,1069,87,7865,1773,0,1774,794,157,154,422,1546,435,4733,512,3327,384,190,0
0,1483,7129,5634,4052,4111,386,2718,0,2794,1581,7193,1697,5418,8892,2217,0,818,585,5758,4558,3023,0,2086,2165,4463,3575,3547,2761,1668,1354,9279,2587,5766,643,8966,325,3755,0,3481,2482,3504,106,4970,0,1215,2620,11584,1476,3255,5442,2065,896,517,897,220,744,3902,245,527,1420,1393,2147,432,3617,624,0,990,1344,458,1912,1430,3013,934,0,2642,4017,4422,818,257,3116,488,3005,170,551,0,1092,2701,1525,1270,522,1390,0,1963,1393,966,3351,2147,0,309,325
81,447,3329,1283,13142,2792,113,7436,151,12111,6977,838,7676,5468,2922,8383,70,317,63,3445,431,1101,0,0,3560,7401,9179,1716,1850,135,993,414,294,2283,275,0,0,2122,99,4984,669,196,0,60,0,128,1550,2528,1445,2470,266,121,65,302,400,0,0,591,208,401,4023,57,1828,1370,2417,169,0,0,59,58,398,0,1494,96,67,2058,54,1535,0,0,586,109,1375,0,0,963,121,495,331,239,0,2112,0,625,0,163,2075,631,70,0,332
693,0,53,0,0,0,0,0,0,0,0,0,1184,0,0,0,0,0,57,0,0,206,0,1405,4906,0,339,1144,0,0,153,0,0,266,0,0,0,72,0,0,0,0,0,0,0,0,267,398,0,0,0,0,17404,303,0,7941,0,0,0,0,0,0,0,0,0,9354,0,0,0,201,0,638,333,0,0,0,131,0,89,0,83,3325,0,0,430,0,0,7150,0,0,0,180,59,0,35,0,0,39,2429,0,0
1052,163,8969,745,376,2829,121,2659,819,2834,2540,2750,1154,2284,2611,1467,0,359,0,2499,2453,3543,0,2102,1386,3360,2686,4057,1754,2272,515,5109,2941,2581,533,760,4052,3984,391,797,4642,3683,4408,10664,0,632,2544,1462,844,1587,1636,7218,607,6871,1724,376,562,3920,261,1223,1570,925,2679,1463,3108,551,0,490,6920,627,103,377,3367,1974,0,2137,1405,2858,94,991,0,364,1516,651,269,468,1161,1318,622,4320,154,936,5619,303,2633,1409,1545,1420,278,750,103
1,10294,1155,505,391,7297,0,4822,0,0,140,121,2740,1195,4961,0,6138,7174,296,1514,0,5546,0,231,0,1318,899,4194,6625,0,661,201,0,4591,67,1078,364,1157,0,1542,829,0,890,0,4311,176,2458,699,1450,356,0,215,324,5193,177,309,3995,269,0,0,0,4277,2528,81,468,270,0,5997,294,5471,0,2800,772,200,0,3333,5611,1200,846,1405,2019,575,1980,651,426,0,0,0,161,0,0,1540,167,0,189,0,0,161,60,63,0
1344,235,978,531,710,1006,0,2894,1640,1153,1566,1023,1140,104,653,1041,0,117,0,913,16871,587,0,1475,675,852,1945,647,460,8634,76,721,5455,775,2932,1855,2652,837,91,1149,5802,3774,1438,555,181,272,757,879,303,1271,2461,744,1566,1432,2114,1396,0,2343,360,621,1980,759,1063,693,101,216,0,0,360,261,3721,2094,830,3072,865,838,2446,1130,1028,8028,504,1015,556,4031,312,216,968,325,4019,473,0,329,1425,825,444,3837,1054,1426,294,499,0
779,0,0,0,0,0,0,0,0,0,0,0,341,80,0,0,0,0,0,0,0,0,0,2517,12306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,44,0,5839,616,0,8264,0,0,0,0,0,0,0,0,0,15874,0,0,0,0,0,49,0,0,0,0,105,0,0,0,0,4260,0,0,164,0,0,7211,42,0,0,0,39,0,0,0,0,0,1166,0,0
602,0,840,1339,94,7854,9053,0,0,0,0,0,0,0,461,0,48,0,61,423,0,79,0,533,143,335,149,88,9340,0,85,294,0,279,67,91,0,942,40,0,105,0,73,119,4218,4210,598,340,157,532,0,4005,57,1760,0,184,1289,1346,0,0,0,2267,216,96,79,0,0,44,1629,1185,0,74,259,33,0,77,157,298,180,179,7622,457,205,93,76,404,0,0,134,2375,599,411,0,0,88,0,134,224,0,0,0
368,60,1769,377,850,763,0,102,0,81,48,63,86,447,775,0,0,45,0,724,50,80,0,876,259,341,1398,1190,311,0,0,3627,766,566,609,2125,260,908,0,0,215,0,1267,1366,0,4028,494,392,143,0,358,3387,313,334,0,813,4206,691,19774,0,0,813,720,90,403,239,0,114,1554,456,69,4020,956,289,49,371,339,257,328,1553,803,1526,410,2972,832,0,114,85,361,1982,86,348,2240,0,2619,6004,583,307,48,1773,0
148,114,457,202,137,263,0,1649,1813,672,1946,5395,977,823,772,362,0,60,0,462,4845,319,0,136,417,267,363,956,197,4147,125,51,3639,140,4546,566,50,387,45,323,3563,4843,737,240,206,4043,340,149,114,621,4655,60,1688,191,1317,1000,0,2209,63,490,1968,110,333,6142,157,120,0,0,419,2275,1340,2014,284,141,236,566,368,476,167,1048,145,1365,447,1496,60,0,129,527,6761,120,0,121,7186,199,293,126,454,4262,395,98,0
550,70,116,153,92,807,0,696,177,980,3479,11701,1455,908,306,1594,0,40,180,1230,1408,1180,0,31,604,1329,1807,444,456,2254,263,166,1352,600,1008,83,3831,572,57,178,1848,5931,80,0,60,144,442,0,468,492,7305,0,1331,134,6523,31,0,143,0,527,1065,391,825,2202,930,172,0,38,149,35,46,0,447,986,100,570,0,275,0,274,272,167,440,89,38,190,92,1577,159,833,0,421,78,76,0,0,167,471,0,0,135
970,102,233,361,17953,807,0,12,0,44,0,0,65,663,74,0,10,20,65,304,13,183,27,0,143,100,46,206,29,0,0,0,0,563,10,0,0,251,0,0,53,41,0,0,0,0,70,398,79,3744,0,0,0,0,15,0,508,40,0,0,0,0,274,13,0,0,0,0,0,0,0,80,141,0,0,144,0,608,0,0,791,0,203,36,0,0,0,0,0,0,0,185,0,0,34,0,68,0,0,0,0
1086,0,0,0,25,41,0,22,0,0,31,27,37,267,0,72,0,0,306,40,0,71,0,0,25,0,30,48,31,0,713,47,588,34,60,0,0,0,0,303,47,0,0,0,0,0,0,59,0,0,0,0,0,0,24,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17123
1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,16980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,40,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,419,0,0,0,0,0,0,0,0,0,0
769,54,1249,52,50,1332,0,2791,82,4038,4175,454,3267,1070,467,6718,0,82,55,2045,344,1918,0,0,521,549,986,312,698,237,4543,2106,716,206,495,0,0,1256,0,220,1358,2138,76,58,0,0,359,75,785,375,0,0,0,0,2833,0,0,92,0,10442,2548,0,629,2353,600,0,0,105,231,0,0,0,451,30,41,1486,0,31,0,146,355,25,337,38,0,0,0,56,0,126,0,133,0,0,106,0,186,43,0,0,240
300,553,3710,1699,4202,2725,177,1860,0,1671,665,3669,1577,2664,4025,1116,64,257,153,2747,1698,1346,0,639,2050,2947,2452,2362,1989,1164,666,2111,1580,2307,285,0,41,2053,0,2047,1559,1298,1015,199,0,0,1560,2588,1017,3230,0,301,0,44,568,0,90,2372,0,199,1063,166,1638,454,5407,0,0,356,745,96,160,218,1866,232,42,1799,0,2626,109,0,2119,72,2126,675,0,229,124,0,78,811,0,968,46,426,1219,0,2903,176,0,126,143
488,32,1716,176,460,1180,37,62,0,85,43,0,73,0,679,0,0,49,0,965,55,316,0,1020,263,253,1191,539,327,42,0,4027,2117,922,286,1380,90,625,0,155,219,0,1855,2565,0,2008,626,665,161,188,594,5313,121,695,34,112,3458,705,8526,0,0,303,468,72,572,130,0,141,1794,366,57,362,1049,329,47,305,282,293,191,85,888,757,285,992,595,0,74,189,327,968,187,543,3850,0,2363,1679,531,232,51,426,0
844,0,121,471,0,85,0,0,2507,0,0,32,0,0,124,0,508,0,446,32,0,162,0,20,0,373,42,0,69,0,0,141,21,167,0,173,0,50,1815,0,0,0,24,299,0,0,0,0,25,0,0,158,0,0,0,326,247,478,27,0,0,147,292,0,0,45,0,453,9359,601,0,0,53,0,5490,0,591,0,51,0,55,1436,0,185,0,0,713,0,0,911,0,0,633,55,82,23,38,1298,3740,0,0
991,0,0,0,10,112,0,72,61,100,97,393,79,52,25,96,13,0,338,465,125,47,0,0,34,52,30,0,69,37,12419,294,223,58,290,0,0,228,20,332,159,347,0,0,0,0,18,0,60,19,0,0,15,0,28,0,0,0,0,3825,65,19,0,2371,42,0,0,0,0,0,0,0,15,0,56,141,0,0,0,0,54,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,27,0,0,0,1882
1064,0,0,0,27,0,12934,0,0,0,0,0,0,0,428,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,170,0,0,0,0,0,0,0,0,68,126,0,0,0,0,0,0,0,0,0,0,0,44,0,34,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3730,0,63,0,0,0,0,0,0,0,0,0
789,160,0,0,148,585,0,0,389,0,0,0,0,988,316,0,0,0,0,461,0,0,0,0,450,0,0,0,146,0,0,0,0,0,0,0,0,138,173,713,0,0,0,0,0,0,323,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1085,0,0,0,0,0,0,0,2112,0,466,0,389,0,0,161,0,0,0,0,0,0,0,0,698,0,0,153,610,205,0,1446,0,0,167,0,0,0,0
887,0,0,44,0,0,0,62,188,0,149,0,66,0,114,122,0,0,0,0,275,0,0,55,0,0,0,0,49,791,0,0,520,0,490,158,101,0,46,0,0,617,279,1031,0,3425,0,0,0,0,75,69,151,149,93,1994,0,154,0,0,171,284,0,116,0,80,0,0,0,5386,100,305,38,847,0,57,435,52,249,0,0,925,144,47,47,0,116,45,2655,0,0,0,84,56,55,90,0,361,265,0,0
855,0,260,85,0,1583,0,0,0,19,66,0,0,0,173,0,0,0,0,91,0,316,0,342,0,118,0,149,2109,0,0,779,37,67,30,165,643,80,0,0,0,0,1106,1115,0,812,47,132,20,35,108,470,104,858,0,268,762,66,0,0,43,567,328,0,73,135,0,26,158,892,43,160,60,184,38,0,1513,145,211,533,135,539,0,512,347,0,218,120,513,0,828,87,880,233,8365,0,58,87,156,138,0
939,0,394,38,27,204,0,74,146,227,441,1323,239,337,122,214,0,35,0,193,835,389,0,0,804,762,528,191,85,1099,755,74,472,233,130,0,0,460,27,62,689,2941,0,0,0,0,330,47,151,112,135,0,0,34,5582,0,0,76,0,6474,238,0,319,687,372,0,0,0,0,0,0,0,244,0,83,591,0,231,0,0,55,0,90,0,0,129,0,157,0,0,0,172,94,0,0,0,104,0,0,0,24
1422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9606,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479
647,0,1312,103,0,0,0,0,328,0,0,334,0,0,0,0,233,0,0,0,0,306,0,0,0,0,167,653,0,0,0,0,0,0,0,0,0,549,0,0,0,0,0,0,0,0,1270,0,475,0,0,0,0,143,0,0,0,0,0,0,0,0,521,0,0,0,315,0,0,0,0,0,293,0,0,0,196,0,0,0,217,0,128,0,0,0,133,0,0,101,346,0,0,0,0,243,0,0,0,0,0
1450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
821,244,891,262,1237,484,0,154,0,0,0,0,0,282,842,0,0,172,172,377,0,0,0,0,1303,1016,622,0,601,0,0,0,0,604,0,0,0,494,0,7718,0,0,0,0,0,0,1771,1041,0,965,0,0,0,0,0,0,0,0,0,0,0,0,798,0,203,0,0,0,0,0,0,0,656,0,0,653,0,304,0,0,331,0,266,0,0,0,194,0,0,257,0,263,0,320,0,227,377,0,0,0,0
908,45,70,278,234,854,22,901,36,1312,3384,122,2521,1077,324,2901,0,20,5558,968,320,292,0,0,724,351,245,467,436,159,2719,0,214,145,108,0,0,435,0,1640,188,210,0,0,0,0,239,627,617,1097,57,0,0,0,2995,0,0,159,0,462,949,0,159,525,245,0,0,18,0,0,58,0,99,0,53,721,0,180,0,0,14,0,204,0,0,0,29,14,0,0,0,129,0,90,0,0,251,0,0,0,197
1130,19,0,0,0,65,0,63,0,631,352,0,1097,24,0,170,0,9,0,47,0,0,0,0,26,0,7,0,42,0,4116,17,0,28,28,0,0,18,0,11,14,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,8,0,3580,110,0,0,6417,15,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,16,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2151
800,275,1944,493,751,1349,26,1028,97,424,1371,705,725,2214,931,1437,24,89,1339,2508,906,1302,0,0,1159,1028,3049,0,876,865,699,1136,784,825,211,0,0,1136,0,3122,1466,653,0,0,0,0,800,1706,432,2858,54,66,0,201,1186,0,0,83,0,879,987,0,740,695,411,0,0,380,0,0,77,30,817,100,0,867,0,1059,0,0,384,167,498,82,0,39,249,0,562,61,0,468,72,147,0,29,554,346,0,0,139
960,15,85,0,30,0,0,0,365,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,13,57,0,0,0,0,0,0,0,77,40,65,94,0,0,0,0,0,0,0,0,13,0,0,0,126,0,0,0,154,0,0,0,2795,0,0,0,260,0,0,0,0,0,59,0,0,0,0,28,758,0,0,0,1450,159,0,3486,0,0,0,0,0,0,0
732,59,0,456,161,1449,0,1426,416,1709,670,1078,705,1034,1658,420,0,194,0,2159,550,1856,0,1288,902,1693,1098,1047,672,225,238,821,1867,1443,89,160,84,0,79,440,0,0,1373,1773,0,133,1187,814,342,994,447,518,61,134,0,76,179,1752,64,431,788,132,1438,517,0,761,0,187,1126,414,0,119,1689,0,0,0,168,871,0,364,0,241,801,189,0,284,219,199,341,996,62,740,0,140,0,781,856,883,0,83,72
898,64,1243,352,225,1459,2350,86,0,110,309,48,517,3869,1401,581,484,147,66,837,36,579,16,0,1028,2231,311,1195,343,49,199,41,0,1135,73,0,0,2842,21,532,355,44,0,43,0,0,1030,410,187,684,0,74,0,0,88,0,0,237,0,43,55,0,361,52,917,0,0,1119,22,0,0,0,910,0,26,1340,0,1262,0,0,1049,0,1093,0,0,50,0,0,0,242,0,1307,0,0,0,0,787,22,0,0,47
980,118,1026,323,295,219,15,196,0,105,170,364,153,535,403,251,0,54,6584,849,570,331,0,0,431,366,1302,23,1011,1435,0,699,1257,545,37,0,0,328,0,579,455,499,0,0,0,0,361,277,79,47,0,0,0,26,161,0,0,257,0,18,492,0,202,76,153,0,0,173,0,0,32,0,275,0,23,165,0,393,0,0,341,0,105,0,0,63,0,0,0,51,0,237,0,56,0,0,313,0,0,26,16
832,0,0,151,91,633,0,218,288,57,375,1808,110,438,828,110,0,52,0,510,252,1057,0,329,220,522,287,598,245,1263,46,559,619,822,53,569,4880,0,0,166,0,0,180,135,0,152,632,242,143,267,1244,717,139,948,0,325,40,961,388,75,116,196,308,121,0,40,0,46,205,156,187,65,724,0,0,0,312,1224,81,558,0,426,566,831,0,75,232,89,1313,170,230,316,215,152,0,224,452,230,0,339,0
810,328,1506,873,1369,720,28,1020,0,844,453,1804,699,1466,2525,527,0,161,188,1495,568,839,0,107,325,1261,1125,848,755,257,249,277,614,1027,186,0,0,601,0,701,1184,510,0,44,0,62,1180,1676,402,489,0,1286,0,50,289,2024,225,409,0,141,1002,134,445,1746,1636,101,0,287,272,290,191,280,818,586,0,621,48,1118,333,239,366,58,810,151,0,111,64,123,0,227,0,534,39,232,338,0,884,212,25,0,48
928,15,35,28,0,129,0,248,3150,194,181,43,188,0,37,71,0,0,0,128,104,123,0,0,178,0,53,65,66,42,18,50,0,67,16,0,0,125,106,0,294,119,255,23,0,0,95,102,263,120,0,16,0,0,51,0,0,67,150,45,99,0,12,56,0,0,73,0,16,0,17,0,53,0,556,87,0,53,65,334,52,24,0,0,0,112,45,0,0,223,0,0,0,0,29,3298,76,20,0,0,0
918,0,0,0,0,52,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,469,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,557,0,0,0,1333,0,0,352,0,0,0,0,0,0,0
877,190,1296,568,500,545,0,1384,0,2748,1256,60,2646,1366,793,1790,0,166,0,553,0,96,0,0,706,1968,3231,436,407,0,316,241,67,773,67,0,0,725,79,466,76,0,0,0,0,0,683,1007,265,443,1056,0,0,0,105,0,0,244,0,108,756,0,344,103,431,0,0,107,0,0,93,0,687,0,84,488,0,670,0,0,385,0,325,0,0,222,64,0,0,99,0,554,0,192,38,33,305,0,0,0,54
1011,0,26,0,0,67,0,0,403,0,0,0,0,0,0,0,0,0,0,111,0,28,0,0,48,0,0,63,15,0,0,0,0,0,36,0,0,33,96,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,191,0,0,0,968,0,0,0,269,28,0,0,0,0,0,0,0,0,0,30,702,0,0,0,1429,119,0,1557,0,37,0,0,0,0,0
1119,40,0,0,6121,95,0,0,312,0,0,0,8,92,0,0,0,0,32,56,0,0,0,0,16,0,0,35,49,0,7,0,0,0,14,0,0,0,38,0,60,0,0,0,0,0,86,0,19,34,0,0,0,0,0,0,0,0,9,0,0,0,275,0,0,0,52,0,0,0,710,0,421,0,129,0,0,0,0,0,9,0,0,0,0,0,128,0,0,0,260,0,0,417,0,0,11,0,0,0,0
